candidate_count,candidate_score_mode,fallback_skill_id,generated_graph,generated_graph_candidate_id,generated_graph_selected_primary,graph_candidate_score_mode,graph_search_mode,graph_top_k,job_id,num_graph_candidates,objective,operators,phase,planner_mode,planner_policy,protocol_messages,protocol_spec,protocol_steps,rationale,rejected_candidate_count,requested_planner_mode,requested_topology,score,selected_candidate_score,skill_id,topology_name
0,,,False,,,accuracy_max,topk,2,16c255cca4e4,4,balanced,"local_solve,peer_propagate,star_sink",test,topology_select,fixed_topology,0,{},0,Fixed topology baseline for one_peer_exponential_dag_star.,0,operator_compose,one_peer_exponential_dag_star,0.0,,fixed_one_peer_exponential_dag_star,one_peer_exponential_dag_star
0,,,False,,,accuracy_max,topk,2,17cf8a3a0947,4,balanced,"local_solve,mesh_broadcast,star_sink",test,topology_select,fixed_topology,0,{},0,Fixed topology baseline for mesh_star.,0,operator_compose,mesh_star,0.0,,fixed_mesh_star,mesh_star
0,,,False,,,accuracy_max,topk,2,329c67aaa4e2,4,balanced,"local_solve,tree_reduce",test,topology_select,fixed_topology,0,{},0,Fixed topology baseline for tree.,0,operator_compose,tree,0.0,,fixed_tree,tree
0,,,False,,,accuracy_max,topk,2,3da93f896402,4,balanced,"local_solve,mesh_broadcast,star_sink",test,topology_select,fixed_topology,0,{},0,Fixed topology baseline for mesh_star.,0,operator_compose,mesh_star,0.0,,fixed_mesh_star,mesh_star
0,,,False,,,accuracy_max,topk,2,5af506e2f02b,4,balanced,"local_solve,tree_reduce",test,topology_select,fixed_topology,0,{},0,Fixed topology baseline for tree.,0,operator_compose,tree,0.0,,fixed_tree,tree
0,,,False,,,accuracy_max,topk,2,76403d29ea80,4,balanced,"local_solve,mesh_broadcast,star_sink",test,topology_select,fixed_topology,0,{},0,Fixed topology baseline for mesh_star.,0,operator_compose,mesh_star,0.0,,fixed_mesh_star,mesh_star
0,,,False,,,accuracy_max,topk,2,90deb9deab3e,4,balanced,"local_solve,tree_reduce",test,topology_select,fixed_topology,0,{},0,Fixed topology baseline for tree.,0,operator_compose,tree,0.0,,fixed_tree,tree
0,,,False,,,accuracy_max,topk,2,9268f630cd0b,4,balanced,"local_solve,peer_propagate,star_sink",test,topology_select,fixed_topology,0,{},0,Fixed topology baseline for one_peer_exponential_dag_star.,0,operator_compose,one_peer_exponential_dag_star,0.0,,fixed_one_peer_exponential_dag_star,one_peer_exponential_dag_star
0,,,False,,,accuracy_max,topk,2,ab781c9ac947,4,balanced,"local_solve,peer_propagate,star_sink",test,topology_select,fixed_topology,0,{},0,Fixed topology baseline for one_peer_exponential_dag_star.,0,operator_compose,one_peer_exponential_dag_star,0.0,,fixed_one_peer_exponential_dag_star,one_peer_exponential_dag_star
0,,,False,,,accuracy_max,topk,2,b2fca4b9ed44,4,balanced,"local_solve,peer_propagate,star_sink",test,topology_select,fixed_topology,0,{},0,Fixed topology baseline for one_peer_exponential_dag_star.,0,operator_compose,one_peer_exponential_dag_star,0.0,,fixed_one_peer_exponential_dag_star,one_peer_exponential_dag_star
0,,,False,,,accuracy_max,topk,2,e361202c41a9,4,balanced,"local_solve,tree_reduce",test,topology_select,fixed_topology,0,{},0,Fixed topology baseline for tree.,0,operator_compose,tree,0.0,,fixed_tree,tree
0,,,False,,,accuracy_max,topk,2,f95004bab0ee,4,balanced,"local_solve,mesh_broadcast,star_sink",test,topology_select,fixed_topology,0,{},0,Fixed topology baseline for mesh_star.,0,operator_compose,mesh_star,0.0,,fixed_mesh_star,mesh_star
