candidate_count,candidate_score_mode,fallback_skill_id,generated_graph,generated_graph_candidate_id,generated_graph_selected_primary,graph_candidate_score_mode,graph_search_mode,graph_top_k,job_id,num_graph_candidates,objective,operators,phase,planner_mode,planner_policy,protocol_messages,protocol_spec,protocol_steps,rationale,rejected_candidate_count,requested_planner_mode,requested_topology,score,selected_candidate_score,skill_id,topology_name
0,,,False,,,accuracy_max,topk,2,2ed9d25728c2,4,balanced,"local_solve,tree_reduce",test,topology_select,fixed_topology,0,{},0,Fixed topology baseline for tree.,0,operator_compose,tree,0.0,,fixed_tree,tree
0,,,False,,,accuracy_max,topk,2,4bcf279e4b56,4,balanced,"local_solve,peer_propagate,star_sink",test,topology_select,fixed_topology,0,{},0,Fixed topology baseline for one_peer_exponential_dag_star.,0,operator_compose,one_peer_exponential_dag_star,0.0,,fixed_one_peer_exponential_dag_star,one_peer_exponential_dag_star
0,,,False,,,accuracy_max,topk,2,5f299af5b205,4,balanced,"local_solve,peer_propagate,star_sink",test,topology_select,fixed_topology,0,{},0,Fixed topology baseline for one_peer_exponential_dag_star.,0,operator_compose,one_peer_exponential_dag_star,0.0,,fixed_one_peer_exponential_dag_star,one_peer_exponential_dag_star
0,,,False,,,accuracy_max,topk,2,781243913574,4,balanced,"local_solve,tree_reduce",test,topology_select,fixed_topology,0,{},0,Fixed topology baseline for tree.,0,operator_compose,tree,0.0,,fixed_tree,tree
0,,,False,,,accuracy_max,topk,2,8f2ec7442ab4,4,balanced,"local_solve,tree_reduce",test,topology_select,fixed_topology,0,{},0,Fixed topology baseline for tree.,0,operator_compose,tree,0.0,,fixed_tree,tree
0,,,False,,,accuracy_max,topk,2,a169dc371872,4,balanced,"local_solve,mesh_broadcast,star_sink",test,topology_select,fixed_topology,0,{},0,Fixed topology baseline for mesh_star.,0,operator_compose,mesh_star,0.0,,fixed_mesh_star,mesh_star
0,,,False,,,accuracy_max,topk,2,ab49d68e2025,4,balanced,"local_solve,mesh_broadcast,star_sink",test,topology_select,fixed_topology,0,{},0,Fixed topology baseline for mesh_star.,0,operator_compose,mesh_star,0.0,,fixed_mesh_star,mesh_star
0,,,False,,,accuracy_max,topk,2,c871ec53181b,4,balanced,"local_solve,mesh_broadcast,star_sink",test,topology_select,fixed_topology,0,{},0,Fixed topology baseline for mesh_star.,0,operator_compose,mesh_star,0.0,,fixed_mesh_star,mesh_star
0,,,False,,,accuracy_max,topk,2,cc335b119503,4,balanced,"local_solve,mesh_broadcast,star_sink",test,topology_select,fixed_topology,0,{},0,Fixed topology baseline for mesh_star.,0,operator_compose,mesh_star,0.0,,fixed_mesh_star,mesh_star
0,,,False,,,accuracy_max,topk,2,e5e2a2c641ee,4,balanced,"local_solve,peer_propagate,star_sink",test,topology_select,fixed_topology,0,{},0,Fixed topology baseline for one_peer_exponential_dag_star.,0,operator_compose,one_peer_exponential_dag_star,0.0,,fixed_one_peer_exponential_dag_star,one_peer_exponential_dag_star
0,,,False,,,accuracy_max,topk,2,f89e4645240a,4,balanced,"local_solve,tree_reduce",test,topology_select,fixed_topology,0,{},0,Fixed topology baseline for tree.,0,operator_compose,tree,0.0,,fixed_tree,tree
0,,,False,,,accuracy_max,topk,2,fc8f7321630d,4,balanced,"local_solve,peer_propagate,star_sink",test,topology_select,fixed_topology,0,{},0,Fixed topology baseline for one_peer_exponential_dag_star.,0,operator_compose,one_peer_exponential_dag_star,0.0,,fixed_one_peer_exponential_dag_star,one_peer_exponential_dag_star
