step_idx,phase,topology,agent_id,active_sender,active_receiver,known_sources,known_source_count,coverage_ratio,normalized_l1_error,rmse,exact_match,sent_count,received_count,Topology,Agents,Seed,MergeMode
-1,initial,mesh,0,False,False,[0],1,0.125,0.875,4.838491500457555,False,0,0,mesh,8,1,llm_full_merge
-1,initial,mesh,1,False,False,[1],1,0.125,0.875,4.836010752676218,False,0,0,mesh,8,1,llm_full_merge
-1,initial,mesh,2,False,False,[2],1,0.125,0.875,4.8298033086244825,False,0,0,mesh,8,1,llm_full_merge
-1,initial,mesh,3,False,False,[3],1,0.125,0.875,4.845719760778579,False,0,0,mesh,8,1,llm_full_merge
-1,initial,mesh,4,False,False,[4],1,0.125,0.875,4.823173229316982,False,0,0,mesh,8,1,llm_full_merge
-1,initial,mesh,5,False,False,[5],1,0.125,0.875,4.8407644024472,False,0,0,mesh,8,1,llm_full_merge
-1,initial,mesh,6,False,False,[6],1,0.125,0.875,4.85025772511111,False,0,0,mesh,8,1,llm_full_merge
-1,initial,mesh,7,False,False,[7],1,0.125,0.875,4.815080477001397,False,0,0,mesh,8,1,llm_full_merge
0,after_step,mesh,0,True,True,"[0, 1, 2, 3, 4, 5, 6, 7]",8,1.0,0.144,1.1189280584559491,False,7,7,mesh,8,1,llm_full_merge
0,after_step,mesh,1,True,True,"[0, 1, 2, 3, 4, 5, 6, 7]",8,1.0,0.1268,1.0019980039900278,False,7,7,mesh,8,1,llm_full_merge
0,after_step,mesh,2,True,True,"[0, 1, 2, 3, 4, 5, 6, 7]",8,1.0,0.1408,1.132254388377453,False,7,7,mesh,8,1,llm_full_merge
0,after_step,mesh,3,True,True,"[0, 1, 2, 3, 4, 5, 6, 7]",8,1.0,0.1462,1.1122050170719426,False,7,7,mesh,8,1,llm_full_merge
0,after_step,mesh,4,True,True,"[0, 1, 2, 3, 4, 5, 6, 7]",8,1.0,0.225,1.5953056133543817,False,7,7,mesh,8,1,llm_full_merge
0,after_step,mesh,5,True,True,"[0, 1, 2, 3, 4, 5, 6, 7]",8,1.0,0.135,1.0310189135025603,False,7,7,mesh,8,1,llm_full_merge
0,after_step,mesh,6,True,True,"[0, 1, 2, 3, 4, 5, 6, 7]",8,1.0,0.132,1.0601886624558858,False,7,7,mesh,8,1,llm_full_merge
0,after_step,mesh,7,True,True,"[0, 1, 2, 3, 4, 5, 6, 7]",8,1.0,0.133,0.9934787365615834,False,7,7,mesh,8,1,llm_full_merge
